"nie_malla_modi_id","var"
1591914,"m04"
1591915,"m04"
1594315,"m04"
1594316,"m04"
1596716,"m04"
1596717,"m04"
1596718,"m04"
1596719,"m04"
1599120,"m04"
1599121,"m04"
1601524,"m04"
1601525,"m04"
1603926,"m04"
1603927,"m04"
1606329,"m04"
1606330,"m04"
1608732,"m04"
1611134,"m04"
1611135,"m04"
1613536,"m04"
1613537,"m04"
1635208,"m04"
1635209,"m04"
1635210,"m04"
1635211,"m04"
1635212,"m04"
1635213,"m04"
1637609,"m04"
1637610,"m04"
1637611,"m04"
1637612,"m04"
1637613,"m04"
1637614,"m04"
1637615,"m04"
1637616,"m04"
1637617,"m04"
1637618,"m04"
1640010,"m04"
1640011,"m04"
1640013,"m04"
1640014,"m04"
1640015,"m04"
1640016,"m04"
1640017,"m04"
1640018,"m04"
1640019,"m04"
1640020,"m04"
1640021,"m04"
1640022,"m04"
1640023,"m04"
1642418,"m04"
1642419,"m04"
1642420,"m04"
1642421,"m04"
1642422,"m04"
1642423,"m04"
1642424,"m04"
1642425,"m04"
1642426,"m04"
1642427,"m04"
1642428,"m04"
1644822,"m04"
1644823,"m04"
1644824,"m04"
1644825,"m04"
1644826,"m04"
1644827,"m04"
1644828,"m04"
1644829,"m04"
1644830,"m04"
1644831,"m04"
1644832,"m04"
1647225,"m04"
1647226,"m04"
1647227,"m04"
1647228,"m04"
1647229,"m04"
1647230,"m04"
1647231,"m04"
1647232,"m04"
1647233,"m04"
1647234,"m04"
1647235,"m04"
1647242,"m04"
1647243,"m04"
1649628,"m04"
1649629,"m04"
1649630,"m04"
1649631,"m04"
1649632,"m04"
1649633,"m04"
1649634,"m04"
1649635,"m04"
1649636,"m04"
1649637,"m04"
1649638,"m04"
1649639,"m04"
1649640,"m04"
1649641,"m04"
1649642,"m04"
1649643,"m04"
1649644,"m04"
1649645,"m04"
1652031,"m04"
1652032,"m04"
1652033,"m04"
1652034,"m04"
1652035,"m04"
1652036,"m04"
1652037,"m04"
1652038,"m04"
1652039,"m04"
1652040,"m04"
1652041,"m04"
1652042,"m04"
1652043,"m04"
1652044,"m04"
1652045,"m04"
1652046,"m04"
1652047,"m04"
1652048,"m04"
1654434,"m04"
1654435,"m04"
1654436,"m04"
1654437,"m04"
1654438,"m04"
1654439,"m04"
1654440,"m04"
1654441,"m04"
1654442,"m04"
1654443,"m04"
1654444,"m04"
1654445,"m04"
1654446,"m04"
1654447,"m04"
1654448,"m04"
1654449,"m04"
1654450,"m04"
1654451,"m04"
1656699,"m04"
1656837,"m04"
1656838,"m04"
1656839,"m04"
1656840,"m04"
1656841,"m04"
1656842,"m04"
1656843,"m04"
1656844,"m04"
1656845,"m04"
1656846,"m04"
1656847,"m04"
1656848,"m04"
1656849,"m04"
1656850,"m04"
1656851,"m04"
1656852,"m04"
1656853,"m04"
1656854,"m04"
1656857,"m04"
1656858,"m04"
1656859,"m04"
1656860,"m04"
1659099,"m04"
1659242,"m04"
1659243,"m04"
1659244,"m04"
1659245,"m04"
1659246,"m04"
1659247,"m04"
1659248,"m04"
1659249,"m04"
1659250,"m04"
1659251,"m04"
1659252,"m04"
1659253,"m04"
1659254,"m04"
1659255,"m04"
1659256,"m04"
1659257,"m04"
1659258,"m04"
1659259,"m04"
1659260,"m04"
1659261,"m04"
1659262,"m04"
1659263,"m04"
1661499,"m04"
1661501,"m04"
1661643,"m04"
1661645,"m04"
1661646,"m04"
1661647,"m04"
1661655,"m04"
1661656,"m04"
1661657,"m04"
1661658,"m04"
1661659,"m04"
1661660,"m04"
1661661,"m04"
1661662,"m04"
1661663,"m04"
1661664,"m04"
1661665,"m04"
1661666,"m04"
1661667,"m04"
1663900,"m04"
1663901,"m04"
1663902,"m04"
1663903,"m04"
1664045,"m04"
1664046,"m04"
1664047,"m04"
1664048,"m04"
1664050,"m04"
1664060,"m04"
1664061,"m04"
1664062,"m04"
1664063,"m04"
1664064,"m04"
1664065,"m04"
1664066,"m04"
1664067,"m04"
1664068,"m04"
1664069,"m04"
1664070,"m04"
1666300,"m04"
1666302,"m04"
1666303,"m04"
1666304,"m04"
1666305,"m04"
1666447,"m04"
1666448,"m04"
1666462,"m04"
1666463,"m04"
1666464,"m04"
1666465,"m04"
1666468,"m04"
1666469,"m04"
1666470,"m04"
1666471,"m04"
1666472,"m04"
1666473,"m04"
1666475,"m04"
1668702,"m04"
1668703,"m04"
1668704,"m04"
1668705,"m04"
1668706,"m04"
1668707,"m04"
1668865,"m04"
1668866,"m04"
1668867,"m04"
1668870,"m04"
1668871,"m04"
1668872,"m04"
1668873,"m04"
1668874,"m04"
1668875,"m04"
1668876,"m04"
1668877,"m04"
1668879,"m04"
1671104,"m04"
1671105,"m04"
1671106,"m04"
1671107,"m04"
1671108,"m04"
1671268,"m04"
1671269,"m04"
1671270,"m04"
1671273,"m04"
1671274,"m04"
1671275,"m04"
1671276,"m04"
1671277,"m04"
1671278,"m04"
1671279,"m04"
1671280,"m04"
1671281,"m04"
1671282,"m04"
1673508,"m04"
1673670,"m04"
1673671,"m04"
1673672,"m04"
1673676,"m04"
1673677,"m04"
1673678,"m04"
1673679,"m04"
1673680,"m04"
1673681,"m04"
1673682,"m04"
1673683,"m04"
1673684,"m04"
1673685,"m04"
1675910,"m04"
1675911,"m04"
1676070,"m04"
1676071,"m04"
1676072,"m04"
1676073,"m04"
1676074,"m04"
1676075,"m04"
1676079,"m04"
1676080,"m04"
1676081,"m04"
1676082,"m04"
1676083,"m04"
1676084,"m04"
1676085,"m04"
1676086,"m04"
1676087,"m04"
1676088,"m04"
1678314,"m04"
1678315,"m04"
1678472,"m04"
1678473,"m04"
1678474,"m04"
1678475,"m04"
1678476,"m04"
1678482,"m04"
1678483,"m04"
1678484,"m04"
1678485,"m04"
1678486,"m04"
1678487,"m04"
1678488,"m04"
1678489,"m04"
1678490,"m04"
1680717,"m04"
1680718,"m04"
1680875,"m04"
1680876,"m04"
1680877,"m04"
1680878,"m04"
1680887,"m04"
1680888,"m04"
1680889,"m04"
1680890,"m04"
1680891,"m04"
1680892,"m04"
1683119,"m04"
1683290,"m04"
1683291,"m04"
1683292,"m04"
1683293,"m04"
1683294,"m04"
1685692,"m04"
1685693,"m04"
1685694,"m04"
1685695,"m04"
1685696,"m04"
1685697,"m04"
1688094,"m04"
1688095,"m04"
1688096,"m04"
1688097,"m04"
1688098,"m04"
1688099,"m04"
1690329,"m04"
1690330,"m04"
