"nie_malla_modi_id","basin_code","basin_name"
1591900,5,"Fardes"
1594302,5,"Fardes"
1594312,5,"Fardes"
1594315,5,"Fardes"
1596703,5,"Fardes"
1596711,5,"Fardes"
1596714,5,"Fardes"
1596716,5,"Fardes"
1596719,5,"Fardes"
1599105,5,"Fardes"
1599107,5,"Fardes"
1599115,5,"Fardes"
1599118,5,"Fardes"
1599120,5,"Fardes"
1601504,5,"Fardes"
1601506,5,"Fardes"
1601509,5,"Fardes"
1601517,5,"Fardes"
1601519,5,"Fardes"
1601522,5,"Fardes"
1601524,5,"Fardes"
1603905,5,"Fardes"
1603908,5,"Fardes"
1603910,5,"Fardes"
1603918,5,"Fardes"
1603920,5,"Fardes"
1603923,5,"Fardes"
1603926,5,"Fardes"
1606307,5,"Fardes"
1606309,5,"Fardes"
1606312,5,"Fardes"
1606314,5,"Fardes"
1606320,5,"Fardes"
1606322,5,"Fardes"
1606325,5,"Fardes"
1606327,5,"Fardes"
1606330,5,"Fardes"
1608710,5,"Fardes"
1608712,5,"Fardes"
1608715,5,"Fardes"
1608717,5,"Fardes"
1608720,5,"Fardes"
1608725,5,"Fardes"
1608727,5,"Fardes"
1608730,5,"Fardes"
1608732,5,"Fardes"
1611110,5,"Fardes"
1611112,5,"Fardes"
1611115,5,"Fardes"
1611117,5,"Fardes"
1611120,5,"Fardes"
1611123,5,"Fardes"
1611125,5,"Fardes"
1611128,5,"Fardes"
1611130,5,"Fardes"
1611133,5,"Fardes"
1611135,5,"Fardes"
1613509,1,"Genil"
1613511,5,"Fardes"
1613514,5,"Fardes"
1613516,5,"Fardes"
1613519,5,"Fardes"
1613521,5,"Fardes"
1613524,5,"Fardes"
1613526,5,"Fardes"
1613529,5,"Fardes"
1613532,5,"Fardes"
1613534,5,"Fardes"
1613537,5,"Fardes"
1615913,1,"Genil"
1615915,5,"Fardes"
1615918,5,"Fardes"
1615920,5,"Fardes"
1615923,5,"Fardes"
1615925,5,"Fardes"
1615928,5,"Fardes"
1615930,5,"Fardes"
1615933,5,"Fardes"
1615935,5,"Fardes"
1615938,5,"Fardes"
1615940,5,"Fardes"
1618312,1,"Genil"
1618314,1,"Genil"
1618317,5,"Fardes"
1618319,5,"Fardes"
1618322,5,"Fardes"
1618324,5,"Fardes"
1618327,5,"Fardes"
1618330,5,"Fardes"
1618332,5,"Fardes"
1618335,5,"Fardes"
1618337,5,"Fardes"
1618340,5,"Fardes"
1620716,1,"Genil"
1620718,1,"Genil"
1620721,5,"Fardes"
1620723,5,"Fardes"
1620726,5,"Fardes"
1620729,5,"Fardes"
1620731,5,"Fardes"
1620734,5,"Fardes"
1620736,5,"Fardes"
1620739,5,"Fardes"
1623116,1,"Genil"
1623119,1,"Genil"
1623121,1,"Genil"
1623124,5,"Fardes"
1623126,5,"Fardes"
1623129,5,"Fardes"
1623131,5,"Fardes"
1623134,5,"Fardes"
1623136,5,"Fardes"
1623139,5,"Fardes"
1623141,5,"Fardes"
1625521,1,"Genil"
1625524,1,"Genil"
1625526,5,"Fardes"
1625529,5,"Fardes"
1625532,5,"Fardes"
1625534,5,"Fardes"
1625537,5,"Fardes"
1625539,5,"Fardes"
1625542,5,"Fardes"
1625544,5,"Fardes"
1627925,1,"Genil"
1627928,5,"Fardes"
1627930,5,"Fardes"
1627933,5,"Fardes"
1627936,5,"Fardes"
1627938,5,"Fardes"
1627941,5,"Fardes"
1627943,5,"Fardes"
1627946,5,"Fardes"
1627948,5,"Fardes"
1630329,5,"Fardes"
1630332,5,"Fardes"
1630335,5,"Fardes"
1630337,5,"Fardes"
1630340,5,"Fardes"
1630342,5,"Fardes"
1630345,5,"Fardes"
1630347,5,"Fardes"
1632731,5,"Fardes"
1632733,5,"Fardes"
1632736,5,"Fardes"
1632738,5,"Fardes"
1632741,5,"Fardes"
1632744,5,"Fardes"
1632746,5,"Fardes"
1632749,5,"Fardes"
1632754,5,"Fardes"
1632756,5,"Fardes"
1635130,1,"Genil"
1635132,1,"Genil"
1635135,5,"Fardes"
1635138,5,"Fardes"
1635140,5,"Fardes"
1635143,5,"Fardes"
1635145,5,"Fardes"
1635148,5,"Fardes"
1635150,5,"Fardes"
1635155,5,"Fardes"
1635158,5,"Fardes"
1635176,5,"Fardes"
1635178,5,"Fardes"
1635181,5,"Fardes"
1635209,4,"Andarax"
1635211,4,"Andarax"
1637531,1,"Genil"
1637534,1,"Genil"
1637536,1,"Genil"
1637539,5,"Fardes"
1637542,5,"Fardes"
1637544,5,"Fardes"
1637547,5,"Fardes"
1637549,5,"Fardes"
1637552,5,"Fardes"
1637554,5,"Fardes"
1637557,5,"Fardes"
1637559,5,"Fardes"
1637567,5,"Fardes"
1637577,5,"Fardes"
1637580,5,"Fardes"
1637585,5,"Fardes"
1637608,4,"Andarax"
1637610,4,"Andarax"
1637613,4,"Andarax"
1637616,4,"Andarax"
1637618,4,"Andarax"
1639930,1,"Genil"
1639933,1,"Genil"
1639935,1,"Genil"
1639938,1,"Genil"
1639940,5,"Fardes"
1639943,5,"Fardes"
1639946,5,"Fardes"
1639948,5,"Fardes"
1639951,5,"Fardes"
1639953,5,"Fardes"
1639956,5,"Fardes"
1639958,5,"Fardes"
1639961,5,"Fardes"
1639966,5,"Fardes"
1639969,5,"Fardes"
1639979,5,"Fardes"
1639981,5,"Fardes"
1639986,5,"Fardes"
1639991,5,"Fardes"
1639994,5,"Fardes"
1640007,4,"Andarax"
1640009,4,"Andarax"
1640012,4,"Andarax"
1640014,4,"Andarax"
1640017,4,"Andarax"
1640020,4,"Andarax"
1642332,1,"Genil"
1642334,1,"Genil"
1642337,1,"Genil"
1642339,1,"Genil"
1642342,5,"Fardes"
1642345,5,"Fardes"
1642347,5,"Fardes"
1642350,5,"Fardes"
1642352,5,"Fardes"
1642355,5,"Fardes"
1642357,5,"Fardes"
1642360,5,"Fardes"
1642362,5,"Fardes"
1642365,5,"Fardes"
1642367,5,"Fardes"
1642370,5,"Fardes"
1642383,5,"Fardes"
1642385,5,"Fardes"
1642388,5,"Fardes"
1642393,5,"Fardes"
1642396,5,"Fardes"
1642406,4,"Andarax"
1642408,4,"Andarax"
1642411,4,"Andarax"
1642413,4,"Andarax"
1642416,4,"Andarax"
1642419,4,"Andarax"
1642421,4,"Andarax"
1642424,4,"Andarax"
1642426,4,"Andarax"
1644736,1,"Genil"
1644738,1,"Genil"
