"nie_malla_modi_id","sen_slope_pnau","sen_slope_per_pnau","p_value_pnau","tau_pnau"
1589498,0,0,0.6532,0.099
1591900,0,0,0.91166,0.033
1591901,0,0,0.82224,0.055
1591914,0.03,1.13,0.47422,0.154
1591915,0.031,1.3,0.43741,0.165
1594301,0.005,0.06,0.78398,0.066
1594302,0,0,0.82441,0.055
1594303,0,0,0.6532,0.099
1594310,0.01,0.22,0.50564,0.143
1594311,0.017,0.36,0.54113,0.132
1594312,0.026,0.57,0.54644,0.132
1594315,0.03,0.86,0.65917,0.099
1594316,0.034,1.23,0.43741,0.165
1596703,0,0,0.91166,0.033
1596704,0,0,0.6532,0.099
1596705,0,0,0.6532,0.099
1596711,0.01,0.25,0.50564,0.143
1596712,0.01,0.23,0.5791,0.121
1596713,0.008,0.18,0.5791,0.121
1596714,0.036,0.76,0.40466,0.176
1596715,0.03,0.62,0.6217,0.11
1596716,0.03,0.99,0.43741,0.165
1596717,0.034,1.18,0.43741,0.165
1596718,0.035,1.19,0.40896,0.176
1596719,0.033,1.22,0.40896,0.176
1599103,0.003,0.03,0.78398,0.066
1599104,0.005,0.06,0.6217,0.11
1599105,0.006,0.07,0.6217,0.11
1599106,0,0,0.91166,0.033
1599107,0,0,0.6532,0.099
1599108,0.002,0.04,0.5791,0.121
1599114,0.008,0.18,0.5791,0.121
1599115,0.008,0.18,0.54113,0.132
1599116,0.034,0.71,0.3748,0.187
1599117,0.019,0.38,0.58142,0.121
1599118,0.025,0.61,0.65722,0.099
1599119,0.03,0.84,0.54483,0.132
1599120,0.03,0.95,0.62029,0.11
1599121,0.032,1.05,0.40896,0.176
1601504,0.049,0.33,0.74256,0.077
1601505,0.054,0.37,0.82667,0.055
1601506,0.008,0.07,0.78398,0.066
1601507,0.008,0.07,0.78398,0.066
1601508,0.01,0.1,0.476,0.154
1601509,0,0,0.91166,0.033
1601510,0.001,0.02,0.73927,0.077
1601516,0.009,0.19,0.50564,0.143
1601517,0.008,0.17,0.50564,0.143
1601518,0.048,0.82,0.476,0.154
1601519,0.053,1.01,0.51122,0.143
1601520,0.035,0.44,0.78398,0.066
1601521,0.037,0.69,0.74256,0.077
