"nie_malla_modi_id","sen_slope_pnm11","sen_slope_per_pnm11","p_value_pnm11","tau_pnm11"
1589498,0,0,0.89763,0.033
1591900,0,0,0.89763,0.033
1591901,0,0,0.94481,-0.022
1591914,0,0,0.70024,0.066
1591915,0,0,0.53326,0.11
1594301,0,0,0.90282,0.033
1594302,0,0,0.89763,0.033
1594303,0,0,0.89763,0.033
1594310,0,0,0.89763,0.033
1594311,0,0,0.84666,0.044
1594312,0,0,1,0.011
1594315,0,0,0.89763,-0.033
1594316,0,0,0.53326,0.11
1596703,0,0,0.90282,0.033
1596704,0,0,0.89763,0.033
1596705,0,0,0.89763,0.033
1596711,0,0,0.79694,0.055
1596712,0,0,0.84666,0.044
1596713,0,0,0.88962,-0.033
1596714,0,0,0.71416,0.077
1596715,0,0,0.80709,0.055
1596716,0,0,1,0.011
1596717,0,0,1,0.011
1596718,0,0,0.53326,0.11
1596719,0,0,1,0.011
1599103,0,0,0.80709,0.055
1599104,0,0,0.80709,0.055
1599105,0,0,0.90282,0.033
1599106,0,0,0.80709,0.055
1599107,0,0,0.89763,0.033
1599108,0,0,0.84666,0.044
1599114,0,0,0.88962,-0.033
1599115,0,0,0.88962,-0.033
1599116,0,0,0.80709,0.055
1599117,0,0,0.80709,0.055
1599118,0,0,0.71416,0.077
1599119,0,0,1,0.011
1599120,0,0,1,0.011
1599121,0,0,1,0.011
1601504,0,0,0.7688,0.066
1601505,0,0,0.7688,0.066
1601506,0,0,0.90282,0.033
1601507,0,0,0.80709,0.055
1601508,0,0,0.80709,0.055
1601509,0,0,0.89763,0.033
1601510,0,0,0.80709,0.055
1601516,0,0,0.83548,-0.044
1601517,0,0,0.88962,-0.033
1601518,0,0,0.71416,0.077
1601519,0,0,0.80709,0.055
1601520,0,0,0.59673,0.11
1601521,0,0,0.90282,0.033
1601522,0,0,0.89763,-0.033
1601523,0,0,0.89763,-0.033
1601524,0,0,1,-0.011
1601525,0,0,1,-0.011
1603905,0,0,0.81377,-0.055
1603906,0,0,0.68069,0.088
1603907,0,0,0.95436,0.022
1603908,0,0,0.80709,0.055
1603909,0,0,0.68069,0.088
1603910,0,0,0.75975,0.066
1603911,0,0,0.80709,0.055
1603912,0,0,0.71416,0.077
1603918,0,0,0.88962,-0.033
1603919,0,0,0.90282,0.033
1603920,0,0,0.80709,0.055
1603921,0,0,0.59673,0.11
1603922,0,0,0.45689,0.154
1603923,0,0,0.59673,0.11
1603924,0,0,0.68069,0.088
1603925,0,0,0.90282,0.033
1603926,0,0,0.89763,-0.033
1603927,0,0,1,-0.011
1606307,0,0,1,0
1606308,0,0,0.82441,0.055
1606309,0,0,0.95436,0.022
1606310,0,0,0.59673,0.11
1606311,0,0,0.59673,0.11
1606312,0,0,0.68069,0.088
1606313,0,0,0.71416,0.077
1606314,0,0,0.62528,0.099
1606315,0,0,0.71416,0.077
1606320,0,0,0.80709,0.055
1606321,0,0,0.71416,0.077
1606322,0,0,0.71416,0.077
1606323,0,0,0.59673,0.11
1606324,0,0,0.73612,0.077
1606325,0,0,0.82224,0.055
1606326,0,0,0.59673,0.11
1606327,0,0,0.68069,0.088
1606328,0,0,0.90282,0.033
1606329,0,0,0.79694,-0.055
1606330,0,0,0.79694,-0.055
1608708,0,0,0.91166,0.033
1608709,0.16,1.32,0.65722,0.099
1608710,0.156,1.17,0.61708,0.11
1608711,0,0,0.95436,0.022
1608712,0,0,0.95436,0.022
1608713,0,0,0.86368,0.044
1608714,0,0,0.59673,0.11
1608715,0,0,0.59673,0.11
1608716,0,0,0.71416,0.077
1608717,0,0,0.62528,0.099
1608718,0,0,0.62528,0.099
1608719,0,0,0.71416,0.077
1608720,0,0,0.71416,0.077
1608721,0,0,0.71416,0.077
1608723,0,0,0.71416,0.077
1608724,0,0,0.80709,0.055
1608725,0,0,0.45689,0.154
1608726,0,0,0.73612,0.077
1608727,0,0,0.45689,0.154
1608728,0,0,0.63755,0.099
1608729,0,0,0.86,0.044
1608730,0,0,0.90282,0.033
1608731,0,0,0.79694,-0.055
1608732,0,0,0.79694,-0.055
1611108,0.302,2.16,0.40896,0.176
1611110,0.707,4.65,0.24768,0.242
1611111,0.691,4.17,0.24768,0.242
1611112,0.696,4.14,0.24768,0.242
1611113,0.145,1.14,0.65722,0.099
1611114,0.139,1.06,0.5791,0.121
1611115,0,0,0.82441,0.055
1611116,0,0,0.86368,0.044
1611117,0,0,0.59673,0.11
1611118,0,0,0.71416,0.077
1611119,0,0,0.62528,0.099
1611120,0,0,0.75975,0.066
1611121,0,0,0.71416,0.077
1611122,0,0,0.51784,0.132
1611123,0,0,0.71416,0.077
1611124,0,0,0.62528,0.099
1611125,0,0,0.71416,0.077
1611126,0,0,0.71416,0.077
1611127,0,0,0.45689,0.154
1611128,0,0,0.82224,0.055
1611129,0,0,0.73612,0.077
1611130,0,0,0.68069,0.088
1611131,0,0,0.7688,0.066
1611132,0,0,1,0.011
1611133,0,0,1,0.011
1611134,0,0,0.79694,-0.055
1611135,0,0,0.79694,-0.055
1613509,0.118,0.9,0.65722,0.099
1613510,0.312,2.13,0.40896,0.176
1613511,0.72,4.17,0.2956,0.22
1613512,0.71,4.64,0.24768,0.242
1613513,0.944,4.87,0.20547,0.264
1613514,0.629,3.53,0.34937,0.198
1613515,0.676,4.26,0.2956,0.22
1613516,0.67,4.26,0.2956,0.22
1613517,0.125,1.1,0.50564,0.143
1613518,0,0,0.86368,0.044
1613519,0,0,0.59673,0.11
1613520,0,0,0.54155,0.121
1613521,0,0,0.54155,0.121
1613522,0,0,0.71416,0.077
1613523,0,0,0.62528,0.099
1613524,0,0,0.59673,0.11
1613525,0,0,0.62528,0.099
1613526,0,0,0.51784,0.132
1613527,0,0,0.80709,0.055
1613528,0,0,0.59673,0.11
1613529,0,0,0.45689,0.154
1613530,0,0,0.91056,0.033
1613531,0,0,0.91056,0.033
1613532,0,0,0.91056,0.033
1613533,0,0,0.68069,0.088
1613534,0,0,0.59673,0.11
1613535,0,0,1,0.011
1613536,0,0,0.79694,-0.055
1613537,0,0,0.79694,-0.055
1613538,0,0,1,0
1615910,0.118,0.91,0.65722,0.099
1615911,0.314,2.13,0.40896,0.176
1615912,0.72,4.15,0.40896,0.176
1615913,0.766,4.15,0.34937,0.198
1615914,0.95,4.97,0.34937,0.198
1615915,0.963,4.73,0.24768,0.242
1615916,1.8,8,0.16876,0.286
1615917,0.993,5.14,0.24768,0.242
1615918,0.827,4.98,0.2956,0.22
1615919,0.526,3.91,0.24768,0.242
1615920,0,0,0.51784,0.132
1615921,0,0,0.62528,0.099
1615922,0,0,0.71416,0.077
1615923,0,0,0.62528,0.099
1615924,0,0,0.62528,0.099
1615925,0,0,0.71416,0.077
1615926,0,0,0.59673,0.11
1615927,0,0,0.59673,0.11
1615928,0,0,0.68069,0.088
1615929,0,0,0.45689,0.154
1615930,0,0,0.59673,0.11
1615931,0,0,0.73612,0.077
1615932,0,0,0.91056,0.033
1615933,0.038,0.49,0.62029,0.11
1615934,0,0,0.91056,0.033
1615935,0,0,0.91056,0.033
1615936,0,0,1,0
1615937,0,0,1,0
1615938,0,0,1,0.011
1615939,0,0,1,0
1615940,0,0,0.79694,-0.055
1618310,0,0,0.77477,-0.066
1618311,0,0,0.77477,-0.066
1618312,0,0,0.91166,0.033
1618313,0.066,0.55,0.65722,0.099
1618314,0.316,2.16,0.40896,0.176
1618315,0.764,4.17,0.34937,0.198
1618316,0.949,4.47,0.24768,0.242
1618317,2.355,9.7,0.24768,0.242
1618318,2.071,8.22,0.29754,0.22
1618319,2.1,9.09,0.17048,0.286
1618320,0.897,4.84,0.2956,0.22
1618321,0.133,1.1,0.5791,0.121
1618322,0,0,0.59673,0.11
