"nie_malla_modi_id","sen_slope_pnsp","sen_slope_per_pnsp","p_value_pnsp","tau_pnsp"
1589498,0,0,0.32106,0.099
1591900,0,0,0.10176,0.209
1591901,0,0,0.32106,0.099
1591914,0,NA,NA,0
1591915,0,NA,NA,0
1594301,0,0,0.10176,0.209
1594302,0,0,0.10176,0.209
1594303,0,0,0.32106,0.099
1594310,0,0,0.10176,0.209
1594311,0,0,0.10176,0.209
1594312,0,0,0.32106,0.099
1594315,0,NA,NA,0
1594316,0,NA,NA,0
1596703,0,0,0.10176,0.209
1596704,0,0,0.10176,0.209
1596705,0,0,0.10176,0.209
1596711,0,0,0.32106,0.099
1596712,0,0,0.10176,0.209
1596713,0,0,0.32106,0.099
1596714,0,0,0.10176,0.209
1596715,0,0,0.32106,0.099
1596716,0,NA,NA,0
1596717,0,NA,NA,0
1596718,0,NA,NA,0
1596719,0,NA,NA,0
1599103,0,0,0.10176,0.209
1599104,0,0,0.10176,0.209
1599105,0,0,0.10176,0.209
1599106,0,0,0.10176,0.209
1599107,0,0,0.10176,0.209
1599108,0,0,0.10176,0.209
1599114,0,0,0.10176,0.209
1599115,0,0,0.32106,0.099
1599116,0,0,0.10176,0.209
1599117,0,0,0.10176,0.209
1599118,0,0,0.32106,0.099
1599119,0,0,0.32106,0.099
1599120,0,NA,NA,0
1599121,0,NA,NA,0
1601504,0,0,0.10176,0.209
1601505,0,0,0.14347,0.22
1601506,0,0,0.10176,0.209
1601507,0,0,0.10176,0.209
1601508,0,0,0.10176,0.209
1601509,0,0,0.10176,0.209
1601510,0,0,0.10176,0.209
1601516,0,0,0.10176,0.209
1601517,0,0,0.10176,0.209
1601518,0,0,0.10176,0.209
1601519,0,0,0.32106,0.099
1601520,0,0,0.46706,0.099
1601521,0,0,0.32106,0.099
1601522,0,0,0.32106,0.099
1601523,0,0,0.32106,0.099
1601524,0,NA,NA,0
1601525,0,NA,NA,0
1603905,0,0,0.10176,0.209
1603906,0,0,0.72924,0.066
1603907,0,0,0.83548,0.044
1603908,0,0,0.14347,0.22
1603909,0,0,0.14347,0.22
1603910,0,0,0.10176,0.209
1603911,0,0,0.10176,0.209
1603912,0,0,0.10176,0.209
1603918,0,0,0.32106,0.099
1603919,0,0,0.10176,0.209
1603920,0,0,0.10176,0.209
1603921,0,0,0.32106,0.099
1603922,0,0,0.53326,-0.11
1603923,0,0,0.46706,0.099
1603924,0,0,0.32106,0.099
1603925,0,0,0.32106,0.099
1603926,0,NA,NA,0
1603927,0,NA,NA,0
1606307,0,0,1,-0.011
1606308,0,0,0.68069,0.088
1606309,0,0,0.89763,-0.033
1606310,0,0,0.72924,0.066
1606311,0,0,0.72924,0.066
1606312,0,0,0.14347,0.22
1606313,0,0,0.10176,0.209
1606314,0,0,0.10176,0.209
1606315,0,0,0.10176,0.209
1606320,0,0,0.10176,0.209
1606321,0,0,0.10176,0.209
1606322,0,0,0.10176,0.209
1606323,0,0,0.46706,0.099
1606324,0,0,0.52005,-0.121
1606325,0,0,0.52005,-0.121
1606326,0,0,0.46706,0.099
1606327,0,0,0.32106,0.099
1606328,0,0,0.32106,0.099
1606329,0,NA,NA,0
1606330,0,NA,NA,0
1608708,0,0,0.77477,-0.066
1608709,0,0,1,0
1608710,0.001,0.03,0.73927,0.077
1608711,0,0,0.68069,0.088
1608712,0,0,0.59673,0.11
1608713,0,0,1,0.011
1608714,0,0,0.14347,0.22
1608715,0,0,0.14347,0.22
1608716,0,0,0.10176,0.209
1608717,0,0,0.10176,0.209
1608718,0,0,0.10176,0.209
1608719,0,0,0.10176,0.209
1608720,0,0,0.10176,0.209
1608721,0,0,0.10176,0.209
1608723,0,0,0.10176,0.209
1608724,0,0,0.32106,0.099
1608725,0,0,0.93862,-0.022
1608726,0,0,0.52005,-0.121
1608727,0,0,0.53326,-0.11
1608728,0,0,0.32106,0.099
1608729,0,0,0.32106,0.099
1608730,0,0,0.32106,0.099
1608731,0,0,0.32106,0.099
1608732,0,NA,NA,0
1611108,0,0,0.91166,0.033
1611110,0,0,0.82441,0.055
1611111,0.008,0.08,0.86883,0.044
1611112,0,0,0.9561,0.022
1611113,0,0,0.86368,0.044
1611114,0,0,0.82441,0.055
1611115,0,0,0.59673,0.11
1611116,0,0,0.90282,0.033
1611117,0,0,0.72924,0.066
1611118,0,0,0.10176,0.209
1611119,0,0,0.10176,0.209
1611120,0,0,0.10176,0.209
1611121,0,0,0.10176,0.209
1611122,0,0,0.19054,0.198
1611123,0,0,0.10176,0.209
1611124,0,0,0.10176,0.209
