"nie_malla_modi_id","sen_slope_pnwi","sen_slope_per_pnwi","p_value_pnwi","tau_pnwi"
1589498,0.42,4.61,0.24768,0.242
1591900,0.363,3.4,0.40896,0.176
1591901,0.142,2.14,0.476,0.154
1591914,0.149,2.99,0.41085,0.176
1591915,0.148,2.98,0.41085,0.176
1594301,0.584,3.3,0.51122,0.143
1594302,0.369,3.4,0.37772,0.187
1594303,0.38,4.47,0.20547,0.264
1594310,0.348,4.21,0.41085,0.176
1594311,0.324,3.8,0.58407,0.121
1594312,0.188,2.24,0.6217,0.11
1594315,0.21,2.78,0.54644,0.132
1594316,0.166,3.45,0.41085,0.176
1596703,0.563,4.24,0.35131,0.198
1596704,0.371,3.45,0.34937,0.198
1596705,0.403,4.6,0.20547,0.264
1596711,0.269,4.11,0.41085,0.176
1596712,0.404,5.5,0.35131,0.198
1596713,0.324,4.15,0.44342,0.165
1596714,0.32,3.69,0.51122,0.143
1596715,0.4,4.36,0.51122,0.143
1596716,0.266,4.5,0.476,0.154
1596717,0.261,4.62,0.41085,0.176
1596718,0.181,3.47,0.54644,0.132
1596719,0.158,3.4,0.41085,0.176
1599103,0.833,3.56,0.66142,0.099
1599104,0.617,3.28,0.44342,0.165
1599105,0.63,3.49,0.66142,0.099
1599106,0.577,4.45,0.2956,0.22
1599107,0.384,4.02,0.20547,0.264
1599108,0.36,4.56,0.24958,0.242
1599114,0.303,3.96,0.41085,0.176
1599115,0.343,4.54,0.41085,0.176
1599116,0.311,3.64,0.51122,0.143
1599117,0.314,3.48,0.51122,0.143
1599118,0.257,3.11,0.51122,0.143
1599119,0.246,3.7,0.6217,0.11
1599120,0.249,4.41,0.476,0.154
1599121,0.209,4.07,0.476,0.154
1601504,1.825,4.97,0.12531,0.319
1601505,1.782,4.98,0.12531,0.319
1601506,1.163,4.45,0.38107,0.187
1601507,1.139,4.73,0.32442,0.209
1601508,0.738,3.53,0.44342,0.165
1601509,0.546,4.76,0.2956,0.22
1601510,0.518,4.72,0.35131,0.198
1601516,0.328,4.02,0.51122,0.143
1601517,0.333,4.18,0.44342,0.165
1601518,0.45,3.87,0.44342,0.165
1601519,0.506,4.48,0.51122,0.143
1601520,1.287,7.04,0.12531,0.319
1601521,0.543,5,0.51122,0.143
1601522,0.358,4.81,0.476,0.154
1601523,0.32,4.68,0.38107,0.187
1601524,0.205,4.11,0.476,0.154
