"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1589498",6.943,1.41,0.66142,0.099
"1591900",7.093,1.42,0.66142,0.099
"1591901",4.284,1,0.51122,0.143
"1591914",-0.897,-0.26,0.91281,-0.033
"1591915",-0.902,-0.26,0.91281,-0.033
"1594301",8.255,1.57,0.58407,0.121
"1594302",7.067,1.41,0.66142,0.099
"1594303",6.712,1.39,0.66142,0.099
"1594310",1.093,0.27,0.91281,0.033
"1594311",0.87,0.22,0.91281,0.033
"1594312",0.699,0.17,0.91281,0.033
"1594315",-0.877,-0.24,0.82667,-0.055
"1594316",-0.973,-0.28,0.74256,-0.077
"1596703",7.531,1.47,0.58407,0.121
"1596704",7.041,1.41,0.66142,0.099
"1596705",6.799,1.4,0.66142,0.099
"1596711",1.16,0.29,1,0.011
"1596712",0.947,0.24,1,0.011
"1596713",0.752,0.19,1,0.011
"1596714",0.583,0.15,1,0.011
"1596715",0.447,0.11,1,0.011
"1596716",-1.123,-0.32,0.82667,-0.055
"1596717",-1.239,-0.35,0.82667,-0.055
"1596718",-1.34,-0.38,0.82667,-0.055
"1596719",-1.461,-0.43,0.82667,-0.055
"1599103",9.375,1.72,0.58407,0.121
"1599104",8.621,1.62,0.58407,0.121
"1599105",8.249,1.58,0.58407,0.121
"1599106",7.339,1.45,0.66142,0.099
"1599107",6.831,1.4,0.66142,0.099
"1599108",2.961,0.68,0.58407,0.121
"1599114",0.873,0.22,1,0.011
"1599115",0.636,0.16,1,0.011
"1599116",0.486,0.12,1,0.011
"1599117",0.308,0.08,1,0.011
"1599118",-1.177,-0.32,0.82667,-0.055
"1599119",-1.317,-0.36,0.82667,-0.055
"1599120",-1.637,-0.47,0.82667,-0.055
"1599121",-1.826,-0.52,0.82667,-0.055
"1601504",10.972,1.91,0.58407,0.121
"1601505",10.507,1.85,0.51122,0.143
"1601506",9.524,1.75,0.58407,0.121
"1601507",8.943,1.67,0.58407,0.121
"1601508",7.384,1.41,0.58407,0.121
"1601509",6.909,1.4,0.66142,0.099
"1601510",3.186,0.71,0.51122,0.143
"1601516",0.792,0.2,1,0.011
"1601517",0.569,0.14,1,0.011
"1601518",0.422,0.1,1,0.011
"1601519",-0.967,-0.25,0.82667,-0.055
"1601520",-0.852,-0.21,1,-0.011
"1601521",-1,-0.26,0.82667,-0.055
"1601522",-1.669,-0.46,0.82667,-0.055
"1601523",-2.01,-0.56,0.82667,-0.055
"1601524",-2.793,-0.81,0.82667,-0.055
"1601525",-3.023,-0.88,0.82667,-0.055
"1603905",11.844,1.88,0.51122,0.143
"1603906",9.287,1.56,0.51122,0.143
"1603907",9.091,1.52,0.51122,0.143
"1603908",7.94,1.43,0.51122,0.143
"1603909",7.891,1.42,0.51122,0.143
"1603910",7.597,1.42,0.51122,0.143
"1603911",7.081,1.4,0.66142,0.099
"1603912",3.292,0.73,0.51122,0.143
"1603918",0.671,0.17,1,0.011
"1603919",0.478,0.12,1,0.011
"1603920",0.362,0.09,1,0.011
"1603921",-0.926,-0.23,0.82667,-0.055
"1603922",-0.803,-0.19,1,-0.011
"1603923",-0.942,-0.23,0.82667,-0.055
"1603924",-1.196,-0.31,0.82667,-0.055
"1603925",-2.393,-0.65,0.82667,-0.055
"1603926",-3.031,-0.85,0.82667,-0.055
"1603927",-3.424,-0.99,0.82667,-0.055
"1606307",9.877,1.6,0.51122,0.143
"1606308",9.759,1.57,0.51122,0.143
"1606309",9.016,1.5,0.51122,0.143
"1606310",8.25,1.43,0.51122,0.143
"1606311",8.194,1.42,0.58407,0.121
"1606312",7.72,1.42,0.58407,0.121
"1606313",7.22,1.41,0.51122,0.143
"1606314",6.587,1.32,0.66142,0.099
"1606315",3.141,0.7,0.66142,0.099
"1606320",0.646,0.16,1,0.011
"1606321",0.416,0.1,1,0.011
"1606322",0.281,0.07,1,0.011
"1606323",-0.929,-0.23,0.82667,-0.055
"1606324",-0.822,-0.19,1,-0.011
"1606325",-0.824,-0.19,1,-0.011
"1606326",-1.527,-0.38,0.82667,-0.055
"1606327",-2.207,-0.57,0.82667,-0.055
"1606328",-3.693,-1.03,0.82667,-0.055
"1606329",-3.72,-1.06,0.74256,-0.077
"1606330",-3.503,-1.01,0.66142,-0.099
"1608708",11.813,1.73,0.51122,0.143
"1608709",10.293,1.61,0.58407,0.121
"1608710",10.121,1.57,0.58407,0.121
"1608711",9.096,1.49,0.58407,0.121
"1608712",8.673,1.43,0.58407,0.121
"1608713",8.416,1.42,0.58407,0.121
"1608714",7.386,1.35,0.58407,0.121
"1608715",7.101,1.33,0.58407,0.121
"1608716",6.381,1.26,0.66142,0.099
"1608717",3.276,0.72,0.66142,0.099
"1608718",2.07,0.47,0.74256,0.077
"1608719",2.449,0.56,0.82667,0.055
"1608720",2.31,0.53,0.91281,0.033
"1608721",0.843,0.2,1,0.011
"1608723",0.33,0.08,1,0.011
"1608724",-1.384,-0.35,0.82667,-0.055
"1608725",-0.9,-0.21,0.91281,-0.033
"1608726",-0.868,-0.2,1,-0.011
"1608727",-0.932,-0.22,0.91281,-0.033
"1608728",-2.5,-0.65,0.82667,-0.055
"1608729",-3.157,-0.84,0.82667,-0.055
"1608730",-3.46,-0.95,0.74256,-0.077
"1608731",-3.19,-0.9,0.66142,-0.099
"1608732",-2.966,-0.85,0.66142,-0.099
"1611108",12.289,1.74,0.51122,0.143
"1611110",12.379,1.73,0.51122,0.143
"1611111",10.883,1.61,0.58407,0.121
"1611112",10.604,1.57,0.58407,0.121
"1611113",9.491,1.49,0.58407,0.121
"1611114",9.119,1.44,0.58407,0.121
"1611115",8.674,1.43,0.58407,0.121
"1611116",8.326,1.42,0.58407,0.121
"1611117",7.3,1.31,0.58407,0.121
"1611118",6.5,1.25,0.58407,0.121
"1611119",3.333,0.73,0.66142,0.099
"1611120",2.14,0.48,0.74256,0.077
"1611121",2.757,0.62,0.82667,0.055
"1611122",1.219,0.26,0.91281,0.033
"1611123",0.846,0.19,1,0.011
"1611124",0.506,0.12,1,0.011
"1611125",0.261,0.06,1,0.011
"1611126",-1.641,-0.41,0.82667,-0.055
"1611127",-0.958,-0.23,0.91281,-0.033
"1611128",-0.879,-0.2,0.91281,-0.033
"1611129",-0.962,-0.22,0.91281,-0.033
"1611130",-1.949,-0.47,0.82667,-0.055
"1611131",-2.304,-0.56,0.82667,-0.055
"1611132",-3.027,-0.82,0.74256,-0.077
"1611133",-2.763,-0.77,0.66142,-0.099
"1611134",-2.496,-0.71,0.66142,-0.099
"1611135",-2.313,-0.67,0.66142,-0.099
"1613509",12.096,1.73,0.51122,0.143
"1613510",12.397,1.73,0.51122,0.143
"1613511",12.659,1.73,0.58407,0.121
"1613512",12.426,1.73,0.51122,0.143
"1613513",11.206,1.61,0.58407,0.121
"1613514",10.594,1.56,0.58407,0.121
"1613515",9.824,1.49,0.58407,0.121
"1613516",9.329,1.43,0.58407,0.121
"1613517",8.746,1.43,0.58407,0.121
"1613518",7.961,1.36,0.58407,0.121
"1613519",7.166,1.3,0.58407,0.121
"1613520",5.707,1.16,0.66142,0.099
"1613521",3.306,0.75,0.66142,0.099
"1613522",2.527,0.55,0.82667,0.055
"1613523",1.87,0.4,0.82667,0.055
"1613524",1.214,0.25,0.91281,0.033
"1613525",0.828,0.18,1,0.011
"1613526",0.564,0.13,1,0.011
"1613527",0.221,0.05,1,0.011
"1613528",-1.529,-0.38,0.82667,-0.055
"1613529",-0.97,-0.23,0.91281,-0.033
"1613530",-0.896,-0.2,0.91281,-0.033
"1613531",-0.883,-0.19,0.91281,-0.033
"1613532",-0.983,-0.22,0.91281,-0.033
"1613533",-2.983,-0.77,0.74256,-0.077
"1613534",-2.691,-0.68,0.74256,-0.077
"1613535",-2.37,-0.65,0.66142,-0.099
"1613536",-2.293,-0.65,0.66142,-0.099
"1613537",-2.388,-0.68,0.66142,-0.099
"1613538",-2.422,-0.66,0.66142,-0.099
"1615910",12.001,1.73,0.51122,0.143
"1615911",12.397,1.73,0.51122,0.143
"1615912",12.634,1.73,0.58407,0.121
"1615913",12.876,1.73,0.58407,0.121
"1615914",12.961,1.73,0.58407,0.121
"1615915",11.244,1.6,0.51122,0.143
"1615916",10.981,1.55,0.51122,0.143
"1615917",10.257,1.49,0.51122,0.143
"1615918",9.501,1.44,0.51122,0.143
"1615919",8.725,1.4,0.51122,0.143
"1615920",7.664,1.35,0.58407,0.121
"1615921",6.93,1.3,0.58407,0.121
"1615922",6.669,1.28,0.58407,0.121
"1615923",6.324,1.27,0.66142,0.099
"1615924",3.469,0.72,0.66142,0.099
"1615925",2.789,0.6,0.82667,0.055
"1615926",1.113,0.23,0.91281,0.033
"1615927",0.876,0.18,0.91281,0.033
"1615928",0.521,0.11,0.91281,0.033
"1615929",-0.97,-0.23,0.91281,-0.033
"1615930",-1.741,-0.43,0.82667,-0.055
"1615931",-0.936,-0.21,0.91281,-0.033
"1615932",-0.888,-0.19,0.91281,-0.033
"1615933",-0.827,-0.17,1,-0.011
"1615934",-1.231,-0.28,0.91281,-0.033
"1615935",-1.953,-0.45,0.91281,-0.033
"1615936",-2.417,-0.6,0.74256,-0.077
"1615937",-2.091,-0.56,0.66142,-0.099
"1615938",-2.447,-0.67,0.66142,-0.099
"1615939",-1.96,-0.54,0.66142,-0.099
"1615940",-2.189,-0.6,0.66142,-0.099
"1618310",13.927,2.13,0.51122,0.143
"1618311",11.653,1.73,0.51122,0.143
"1618312",11.57,1.71,0.51122,0.143
"1618313",11.874,1.71,0.51122,0.143
"1618314",12.256,1.72,0.51122,0.143
"1618315",12.826,1.72,0.58407,0.121
"1618316",13.267,1.73,0.58407,0.121
"1618317",11.419,1.59,0.51122,0.143
"1618318",11.049,1.54,0.51122,0.143
"1618319",10.477,1.49,0.51122,0.143
"1618320",9.501,1.41,0.51122,0.143
"1618321",8.45,1.37,0.58407,0.121
"1618322",7.337,1.32,0.58407,0.121
"1618323",7.367,1.28,0.51122,0.143
"1618324",6.509,1.28,0.58407,0.121
"1618325",6.534,1.25,0.51122,0.143
"1618326",2.74,0.54,0.66142,0.099
"1618327",1.414,0.28,0.74256,0.077
"1618328",1.073,0.22,0.91281,0.033
"1618329",1.268,0.25,0.91281,0.033
"1618330",0.895,0.19,0.91281,0.033
"1618331",-0.947,-0.22,0.91281,-0.033
"1618332",-0.929,-0.21,0.91281,-0.033
"1618333",-0.908,-0.2,0.91281,-0.033
"1618334",-0.866,-0.19,0.91281,-0.033
"1618335",-0.843,-0.18,1,-0.011
"1618336",-0.872,-0.18,0.91281,-0.033
"1618337",-1.357,-0.3,0.91281,-0.033
"1618338",-2.213,-0.53,0.82667,-0.055
"1618339",-1.891,-0.47,0.74256,-0.077
"1618340",-1.768,-0.45,0.74256,-0.077
"1620712",11.466,1.7,0.51122,0.143
"1620713",12.079,1.71,0.51122,0.143
"1620714",12.149,1.71,0.51122,0.143
"1620715",12.556,1.71,0.58407,0.121
"1620716",12.79,1.72,0.58407,0.121
"1620717",12.861,1.72,0.58407,0.121
"1620718",12.844,1.72,0.58407,0.121
"1620719",10.893,1.56,0.51122,0.143
"1620720",10.816,1.52,0.51122,0.143
"1620721",10.152,1.44,0.51122,0.143
"1620722",9.286,1.39,0.51122,0.143
"1620723",8.253,1.31,0.51122,0.143
"1620724",7.855,1.29,0.51122,0.143
"1620725",7.098,1.28,0.58407,0.121
"1620726",6.635,1.27,0.58407,0.121
"1620727",6.538,1.24,0.51122,0.143
"1620728",3.89,0.75,0.74256,0.077
"1620729",3.5,0.67,0.74256,0.077
"1620730",1.041,0.21,0.91281,0.033
"1620731",1.928,0.37,0.82667,0.055
"1620732",-0.776,-0.17,1,-0.011
"1620733",-0.868,-0.19,0.91281,-0.033
"1620734",-0.89,-0.2,0.91281,-0.033
"1620735",-0.857,-0.18,0.91281,-0.033
"1620736",-0.843,-0.18,1,-0.011
"1620737",-0.931,-0.2,0.91281,-0.033
"1620738",-1.72,-0.39,0.91281,-0.033
"1620739",-2.411,-0.58,0.78398,-0.066
"1620740",-2.069,-0.51,0.74256,-0.077
"1623115",11.727,1.69,0.51122,0.143
"1623116",12.233,1.7,0.51122,0.143
"1623117",12.887,1.71,0.58407,0.121
"1623118",13.175,1.69,0.58407,0.121
"1623119",13.147,1.66,0.58407,0.121
"1623120",13.116,1.66,0.58407,0.121
"1623121",11.166,1.56,0.51122,0.143
"1623122",10.763,1.5,0.51122,0.143
"1623123",10.279,1.44,0.51122,0.143
"1623124",9.854,1.4,0.51122,0.143
"1623125",8.849,1.32,0.51122,0.143
"1623126",7.919,1.28,0.51122,0.143
"1623127",7.315,1.26,0.51122,0.143
