"nie_malla_modi_id","sen_slope_prem06","sen_slope_per_prem06","p_value_prem06","tau_prem06"
1589498,-0.538,-5.09,0.38107,-0.187
1591900,-0.565,-5.28,0.44342,-0.165
1591901,-0.245,-2.1,0.35131,-0.198
1591914,0.045,0.29,1,0.011
1591915,0.04,0.26,1,0.011
1594301,-0.577,-5.33,0.32442,-0.209
1594302,-0.537,-4.98,0.41085,-0.176
1594303,-0.485,-4.5,0.44342,-0.165
1594310,-0.327,-2.38,0.91281,-0.033
1594311,-0.326,-2.33,0.91281,-0.033
1594312,-0.322,-2.27,0.91281,-0.033
1594315,0.095,0.6,1,0.011
1594316,0.095,0.61,0.91281,0.033
1596703,-0.572,-5.33,0.32442,-0.209
1596704,-0.518,-4.79,0.41085,-0.176
1596705,-0.475,-4.36,0.44342,-0.165
1596711,-0.358,-2.67,0.91281,-0.033
1596712,-0.353,-2.57,0.91281,-0.033
1596713,-0.353,-2.53,0.91281,-0.033
1596714,-0.35,-2.45,0.91281,-0.033
1596715,-0.1,-0.69,0.91281,-0.033
1596716,0.135,0.86,0.91281,0.033
1596717,0.127,0.81,0.91281,0.033
1596718,0.104,0.67,0.91281,0.033
1596719,0.084,0.54,0.91281,0.033
1599103,-0.516,-4.79,0.32442,-0.209
1599104,-0.555,-5.13,0.32442,-0.209
1599105,-0.535,-4.9,0.38107,-0.187
1599106,-0.485,-4.42,0.38107,-0.187
1599107,-0.473,-4.3,0.44342,-0.165
1599108,-0.305,-2.49,0.51122,-0.143
1599114,-0.371,-2.68,0.91281,-0.033
1599115,-0.376,-2.67,0.91281,-0.033
1599116,-0.08,-0.56,0.91281,-0.033
1599117,-0.041,-0.28,1,-0.011
1599118,0.12,0.75,0.91281,0.033
1599119,0.091,0.57,0.91281,0.033
1599120,0.066,0.42,0.91281,0.033
1599121,0.071,0.45,0.91281,0.033
1601504,-0.528,-4.81,0.32442,-0.209
1601505,-0.578,-5.21,0.32442,-0.209
1601506,-0.522,-4.74,0.32442,-0.209
1601507,-0.497,-4.47,0.38107,-0.187
1601508,-0.486,-4.33,0.38107,-0.187
1601509,-0.47,-4.22,0.41085,-0.176
1601510,-0.34,-2.71,0.51122,-0.143
1601516,-0.388,-2.76,0.82667,-0.055
1601517,-0.15,-1.05,0.82667,-0.055
