"nie_malla_modi_id","sen_slope_prewi","sen_slope_per_prewi","p_value_prewi","tau_prewi"
1589498,4.718,2.59,0.66142,0.099
1591900,4.929,2.66,0.58407,0.121
1591901,6.547,4.41,0.44342,0.165
1591914,3.093,3.01,0.32442,0.209
1591915,3.027,2.97,0.32442,0.209
1594301,5.52,2.83,0.51122,0.143
1594302,4.978,2.69,0.58407,0.121
1594303,4.549,2.56,0.66142,0.099
1594310,3.893,2.93,0.44342,0.165
1594311,4.036,3.09,0.38107,0.187
1594312,4.268,3.29,0.38107,0.187
1594315,3.883,3.5,0.38107,0.187
1594316,3.208,3.11,0.38107,0.187
1596703,5.219,2.74,0.51122,0.143
1596704,4.956,2.69,0.58407,0.121
1596705,4.642,2.61,0.66142,0.099
1596711,3.62,2.79,0.38107,0.187
1596712,3.342,2.57,0.44342,0.165
1596713,3.432,2.67,0.44342,0.165
1596714,3.716,2.88,0.44342,0.165
1596715,4.127,3.17,0.44342,0.165
1596716,3.575,3.33,0.44342,0.165
1596717,3.478,3.29,0.44342,0.165
1596718,3.415,3.26,0.44342,0.165
1596719,3.302,3.21,0.44342,0.165
1599103,5.912,2.89,0.51122,0.143
1599104,5.676,2.87,0.51122,0.143
1599105,5.53,2.85,0.44342,0.165
1599106,5.157,2.76,0.51122,0.143
1599107,4.73,2.65,0.66142,0.099
1599108,5.842,3.92,0.44342,0.165
1599114,3.113,2.38,0.44342,0.165
1599115,2.982,2.33,0.44342,0.165
1599116,3.24,2.51,0.44342,0.165
1599117,3.417,2.66,0.44342,0.165
1599118,3.845,3.44,0.44342,0.165
1599119,3.665,3.33,0.44342,0.165
1599120,3.375,3.18,0.51122,0.143
1599121,3.255,3.1,0.51122,0.143
1601504,6.6,3.07,0.51122,0.143
1601505,6.597,3.1,0.44342,0.165
1601506,6.066,2.98,0.44342,0.165
1601507,5.884,2.96,0.44342,0.165
1601508,5.606,2.91,0.51122,0.143
1601509,4.89,2.71,0.58407,0.121
1601510,6.287,4.07,0.44342,0.165
1601516,3.058,2.31,0.44342,0.165
1601517,2.708,2.08,0.44342,0.165
1601518,3.066,2.3,0.44342,0.165
1601519,3.768,3.18,0.51122,0.143
1601520,4.253,3.31,0.44342,0.165
1601521,3.366,2.85,0.51122,0.143
1601522,2.702,2.41,0.51122,0.143
1601523,2.384,2.16,0.58407,0.121
1601524,1.905,1.82,0.66142,0.099
1601525,1.672,1.61,0.66142,0.099
1603905,5.277,2.22,0.58407,0.121
1603906,7.227,3.24,0.44342,0.165
1603907,7.401,3.31,0.44342,0.165
1603908,6.358,3.07,0.44342,0.165
1603909,6.422,3.12,0.44342,0.165
1603910,6.305,3.19,0.51122,0.143
1603911,5.647,3.06,0.51122,0.143
1603912,6.336,4.05,0.44342,0.165
1603918,2.904,2.22,0.44342,0.165
1603919,2.603,1.98,0.44342,0.165
1603920,2.842,2.09,0.44342,0.165
1603921,3.776,3,0.51122,0.143
1603922,4.299,3.14,0.44342,0.165
1603923,3.46,2.71,0.58407,0.121
1603924,2.883,2.37,0.58407,0.121
1603925,2.288,2.02,0.58407,0.121
1603926,2.026,1.86,0.66142,0.099
1603927,1.76,1.67,0.66142,0.099
1606307,7.72,3.34,0.44342,0.165
1606308,7.987,3.42,0.44342,0.165
1606309,7.466,3.33,0.44342,0.165
1606310,6.942,3.23,0.44342,0.165
1606311,7.298,3.42,0.51122,0.143
1606312,6.457,3.21,0.51122,0.143
1606313,5.528,2.94,0.51122,0.143
1606314,5.193,2.86,0.58407,0.121
1606315,4.698,3.05,0.44342,0.165
1606320,2.965,2.18,0.51122,0.143
1606321,2.579,1.92,0.44342,0.165
1606322,2.572,1.86,0.44342,0.165
1606323,3.53,2.73,0.51122,0.143
1606324,4.112,2.95,0.51122,0.143
1606325,4.054,2.88,0.51122,0.143
1606326,3.104,2.5,0.58407,0.121
1606327,2.87,2.38,0.58407,0.121
1606328,2.11,1.93,0.74256,0.077
1606329,2.009,1.86,0.74256,0.077
1606330,1.88,1.78,0.82667,0.055
1608708,6.836,2.64,0.51122,0.143
1608709,8.391,3.49,0.51122,0.143
1608710,8.619,3.56,0.51122,0.143
1608711,7.72,3.4,0.44342,0.165
1608712,7.977,3.54,0.51122,0.143
1608713,7.391,3.38,0.58407,0.121
1608714,6.312,3.14,0.51122,0.143
1608715,6.101,3.11,0.51122,0.143
1608716,5.388,2.93,0.51122,0.143
1608717,4.497,2.89,0.44342,0.165
1608718,3.92,2.64,0.44342,0.165
1608719,4.328,2.91,0.44342,0.165
1608720,3.908,2.7,0.44342,0.165
1608721,3.384,2.4,0.51122,0.143
1608723,2.501,1.85,0.44342,0.165
1608724,2.872,2.35,0.58407,0.121
1608725,3.857,2.84,0.51122,0.143
1608726,3.891,2.79,0.58407,0.121
1608727,3.602,2.64,0.66142,0.099
1608728,2.827,2.34,0.74256,0.077
1608729,2.519,2.15,0.74256,0.077
1608730,2.17,1.93,0.82667,0.055
1608731,1.893,1.73,0.82667,0.055
1608732,1.668,1.56,0.82667,0.055
1611108,7.569,2.82,0.51122,0.143
1611110,7.722,2.85,0.51122,0.143
1611111,9.359,3.69,0.51122,0.143
1611112,9.488,3.75,0.51122,0.143
1611113,8.628,3.64,0.51122,0.143
1611114,8.471,3.6,0.51122,0.143
1611115,7.862,3.5,0.58407,0.121
1611116,7.416,3.43,0.58407,0.121
1611117,6.681,3.27,0.58407,0.121
1611118,5.74,3.04,0.51122,0.143
1611119,4.208,2.71,0.44342,0.165
1611120,3.642,2.39,0.44342,0.165
1611121,4.426,2.93,0.51122,0.143
1611122,4.177,2.66,0.44342,0.165
1611123,3.488,2.37,0.51122,0.143
1611124,2.866,2.06,0.51122,0.143
1611125,2.434,1.79,0.44342,0.165
1611126,2.982,2.41,0.58407,0.121
1611127,3.615,2.7,0.51122,0.143
1611128,3.757,2.65,0.58407,0.121
1611129,3.406,2.48,0.66142,0.099
1611130,2.936,2.26,0.74256,0.077
1611131,2.728,2.12,0.74256,0.077
1611132,1.958,1.72,0.91281,0.033
1611133,1.157,1.04,0.82667,0.055
1611134,1.409,1.3,0.82667,0.055
1611135,1.208,1.13,0.91281,0.033
1613509,7.259,2.74,0.51122,0.143
1613510,7.739,2.86,0.51122,0.143
1613511,8.135,2.94,0.58407,0.121
1613512,7.796,2.86,0.51122,0.143
1613513,9.992,3.82,0.51122,0.143
1613514,9.583,3.76,0.51122,0.143
1613515,9.061,3.69,0.51122,0.143
1613516,8.947,3.7,0.51122,0.143
1613517,8.006,3.54,0.58407,0.121
1613518,7.344,3.41,0.58407,0.121
1613519,6.451,3.21,0.51122,0.143
1613520,5.087,2.85,0.58407,0.121
