"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1589498",0,0,0.51244,-0.132
"1591900",0,0,0.28177,-0.209
"1591901",0,0,0.38859,-0.165
"1591914",0,0,0.19165,-0.242
"1591915",0,0,0.19165,-0.242
"1594301",0,0,0.90613,0.033
"1594302",0,0,0.38382,-0.176
"1594303",0,0,0.592,-0.11
"1594310",0,0,0.72352,-0.077
"1594311",0,0,0.71976,-0.077
"1594312",0,0,0.81726,-0.055
"1594315",0,0,0.63716,-0.099
"1594316",0,0,0.33638,-0.187
"1596703",0,0,0.60846,-0.11
"1596704",0,0,0.25787,-0.22
"1596705",0,0,0.52306,-0.132
"1596711",0,0,0.31703,-0.198
"1596712",0,0,0.3455,-0.187
"1596713",0,0,0.23172,-0.231
"1596714",0,0,0.34993,-0.187
"1596715",0,0,0.28632,-0.209
"1596716",0,0,0.39566,-0.165
"1596717",0,0,0.49401,-0.132
"1596718",0,0,0.33638,-0.187
"1596719",0,0,0.17327,-0.253
"1599103",0,0,0.95461,0.022
"1599104",0,0,1,-0.011
"1599105",0,0,0.38221,-0.176
"1599106",0,0,0.41553,-0.165
"1599107",0,0,0.72713,-0.077
"1599108",0,0,0.73061,0.077
"1599114",0,0,0.52306,-0.132
"1599115",0,0,0.51687,-0.132
"1599116",0,0,0.34993,-0.187
"1599117",0,0,0.15513,-0.275
"1599118",0,0,0.15513,-0.275
"1599119",0,0,0.15513,-0.275
"1599120",0,0,0.12353,-0.297
"1599121",0,0,0.17327,-0.253
"1601504",0,0,0.86499,0.044
"1601505",0,0,0.91018,0.033
"1601506",0,0,0.86264,-0.044
"1601507",-0.1,-5.38,0.33686,-0.198
"1601508",-0.111,-5.98,0.19383,-0.264
"1601509",0,0,0.31365,-0.198
"1601510",0,0,0.34993,-0.187
"1601516",0,0,0.34993,-0.187
"1601517",0,0,0.27947,-0.209
"1601518",0,0,0.31647,-0.198
"1601519",0,0,0.28632,-0.209
"1601520",0,0,0.48327,-0.143
"1601521",-0.083,-5.3,0.30792,-0.209
"1601522",-0.1,-9.33,0.105,-0.319
"1601523",-0.083,-8.33,0.14665,-0.286
"1601524",-0.1,-11.67,0.0494,-0.374
"1601525",0,0,0.1394,-0.275
"1603905",-0.143,-5,0.33942,-0.198
"1603906",0,0,0.85952,0.044
"1603907",0,0,0.81605,-0.055
"1603908",0,0,1,0
"1603909",0,0,0.8215,-0.055
"1603910",0,0,0.73665,0.077
"1603911",0,0,1,0
"1603912",0,0,0.47925,-0.143
"1603918",0,0,0.23614,-0.231
"1603919",0,0,0.35534,-0.187
"1603920",0,0,0.68444,-0.088
"1603921",0,0,0.76204,-0.066
"1603922",0,0,1,-0.011
"1603923",0,0,1,0.011
"1603924",0,0,0.57109,-0.121
"1603925",0,0,0.86354,-0.044
"1603926",-0.083,-8.97,0.12878,-0.297
"1603927",0,0,0.1394,-0.275
"1606307",0,0,0.64398,-0.099
"1606308",0,0,0.60769,-0.11
"1606309",0,0,0.31591,-0.198
"1606310",0,0,0.95401,-0.022
"1606311",0,0,1,0.011
"1606312",0,0,1,0
"1606313",-0.091,-4.55,0.36783,-0.187
"1606314",0,0,0.42175,-0.165
"1606315",0,0,1,0.011
"1606320",0,0,0.77159,-0.066
"1606321",0,0,0.71976,-0.077
"1606322",0,0,1,0.011
"1606323",0,0,0.56174,-0.121
"1606324",0,0,0.48525,-0.143
"1606325",0,0,1,-0.011
"1606326",0,0,0.9074,-0.033
"1606327",0,0,0.33008,-0.198
"1606328",0,0,0.25787,-0.22
"1606329",-0.125,-15.91,0.05568,-0.363
"1606330",0,0,0.08936,-0.319
"1608708",-0.125,-4.49,0.25573,-0.231
"1608709",0,0,0.55408,-0.121
"1608710",0,0,0.77689,-0.066
"1608711",0,0,0.86499,-0.044
"1608712",0,0,0.73004,-0.077
"1608713",0,0,0.86499,-0.044
"1608714",0,0,0.64974,-0.099
"1608715",0,0,0.42678,-0.165
"1608716",0,0,0.64974,-0.099
"1608717",0,0,1,0.011
"1608718",0,0,1,-0.011
"1608719",0,0,1,-0.011
"1608720",0,0,0.82075,0.055
"1608721",0,0,0.90548,-0.033
"1608723",0,0,0.9048,0.033
"1608724",0,0,0.90699,0.033
"1608725",0,0,0.63238,-0.099
"1608726",0,0,0.63637,-0.099
"1608727",0,0,0.39323,0.176
"1608728",0,0,0.73174,0.077
"1608729",0,0,0.95431,-0.022
"1608730",-0.1,-8.75,0.22483,-0.242
"1608731",-0.1,-11.67,0.10787,-0.308
"1608732",0,0,0.20621,-0.242
"1611108",0,0,0.69526,-0.088
"1611110",-0.1,-3.33,0.27319,-0.22
"1611111",0,0,0.15952,-0.264
"1611112",-0.143,-4.88,0.33942,-0.198
"1611113",0,0,0.53036,-0.132
"1611114",0,0,0.77736,-0.066
"1611115",0,0,0.69344,-0.088
"1611116",0,0,0.61,-0.11
"1611117",0,0,0.6922,-0.088
"1611118",0,0,0.73174,-0.077
"1611119",0,0,1,0.011
"1611120",0,0,0.72831,-0.077
"1611121",0,0,1,0.011
"1611122",0,0,0.86383,0.044
"1611123",0,0,1,-0.011
"1611124",0,0,1,0
"1611125",0,0,0.81227,0.055
"1611126",0,0,0.95355,0.022
"1611127",0,0,1,-0.011
"1611128",0,0,0.6073,-0.11
"1611129",0,0,0.35853,-0.187
"1611130",0,0,1,-0.011
"1611131",0,0,0.56607,-0.121
"1611132",0,0,0.6425,-0.099
"1611133",0,0,0.48327,-0.143
"1611134",0,0,0.40694,-0.165
"1611135",0,0,0.63559,-0.099
"1613509",0,0,0.95519,0.022
"1613510",0,0,0.73004,0.077
"1613511",0,0,0.77548,-0.066
"1613512",0,0,0.45039,-0.154
"1613513",0,0,0.95401,-0.022
"1613514",0,0,0.90581,-0.033
"1613515",0,0,0.62528,-0.099
"1613516",0,0,0.65183,-0.099
"1613517",0,0,0.9548,0.022
"1613518",-0.091,-3.18,0.39627,-0.176
"1613519",0,0,0.64398,-0.099
"1613520",0,0,0.95461,-0.022
"1613521",0,0,1,-0.011
"1613522",0,0,0.77525,-0.066
"1613523",0,0,0.77525,-0.066
"1613524",0,0,1,0.011
"1613525",0,0,1,0.011
"1613526",0,0,0.81845,-0.055
"1613527",0,0,0.9098,0.033
"1613528",0,0,1,0
"1613529",0,0,0.68839,0.088
"1613530",0,0,0.90922,-0.033
"1613531",-0.077,-3.71,0.30375,-0.209
"1613532",0,0,0.64398,-0.099
"1613533",0,0,0.77596,-0.066
"1613534",0,0,0.9098,-0.033
"1613535",0,0,0.41866,-0.165
"1613536",0,0,0.12353,-0.297
"1613537",0,0,0.21573,-0.231
"1613538",0,0,0.30618,-0.198
"1615910",0,0,0.8215,0.055
"1615911",0,0,0.9549,-0.022
"1615912",0,0,0.77405,-0.066
"1615913",0,0,0.68968,-0.088
"1615914",0,0,1,0.011
"1615915",0,0,0.9537,0.022
"1615916",0,0,0.64868,-0.099
"1615917",0,0,0.90932,0.033
"1615918",-0.125,-4.73,0.39526,-0.176
"1615919",0,0,0.77689,-0.066
"1615920",-0.167,-5.98,0.23993,-0.242
"1615921",-0.143,-6.25,0.40223,-0.176
"1615922",0,0,1,0.011
"1615923",0,0,0.41553,-0.165
"1615924",0,0,0.86442,0.044
