"nie_malla_modi_id","sen_slope","sen_slope_per","p_value","tau"
"1589498",-1.6,-1.66,0.62065,-0.11
"1591900",-2.667,-3.01,0.37578,-0.187
"1591901",-1.143,-1.2,0.5436,-0.132
"1591914",0,0,0.47975,-0.143
"1591915",0,0,0.47975,-0.143
"1594301",-0.889,-0.82,0.70028,-0.088
"1594302",-1,-1.01,0.58026,-0.121
"1594303",-1.143,-1.17,0.6595,-0.099
"1594310",0,0,0.73745,0.077
"1594311",0,0,0.9556,0.022
"1594312",0,0,0.8679,0.044
"1594315",0,0,0.69374,0.088
"1594316",0,0,1,0.011
"1596703",0,0,0.86843,0.044
"1596704",-1,-1.01,0.58026,-0.121
"1596705",-1,-1.09,0.61923,-0.11
"1596711",-1.143,-1.59,0.43022,-0.165
"1596712",-1.143,-1.59,0.43022,-0.165
"1596713",0,0,0.42225,-0.165
"1596714",-0.889,-1.28,0.53605,-0.132
"1596715",-0.889,-1.25,0.49896,-0.143
"1596716",0,0,1,0
"1596717",0,0,0.81377,0.055
"1596718",0,0,1,0.011
"1596719",0,0,0.47975,-0.143
"1599103",0,0,1,0.011
"1599104",0,0,1,0
"1599105",0,0,0.9561,0.022
"1599106",1.333,1.35,0.43741,0.165
"1599107",-0.889,-0.86,0.86883,-0.044
"1599108",0,0,0.82476,0.055
"1599114",0,0,0.61451,-0.11
"1599115",0,0,1,-0.011
"1599116",-0.889,-1.28,0.53605,-0.132
"1599117",0,0,0.65217,-0.099
"1599118",0,0,0.65217,-0.099
"1599119",0,0,0.65217,-0.099
"1599120",0,0,0.65217,-0.099
"1599121",0,0,0.47975,-0.143
"1601504",-1.333,-2.05,0.65917,-0.099
"1601505",-1.333,-1.8,0.70028,-0.088
"1601506",-0.7,-0.87,0.74181,-0.077
"1601507",-4,-4.56,0.54483,-0.132
"1601508",0,0,0.95597,0.022
"1601509",0,0,0.82494,-0.055
"1601510",3.7,4.28,0.10968,0.33
"1601516",0,0,0.9099,-0.033
"1601517",0,0,0.52766,-0.132
"1601518",-0.889,-1.26,0.49896,-0.143
"1601519",-0.889,-1.26,0.49896,-0.143
"1601520",0,0,0.73901,0.077
"1601521",0,0,0.91193,0.033
"1601522",0,0,1,-0.011
"1601523",0,0,1,-0.011
"1601524",-3.2,-5.14,0.20727,-0.253
"1601525",0,0,0.12626,-0.286
"1603905",3,4.27,0.02358,0.462
"1603906",3,4.32,0.37964,0.187
"1603907",4.5,6.73,0.04807,0.407
"1603908",4.571,5.96,0.32297,0.209
"1603909",-3.833,-4.59,0.47467,-0.154
"1603910",0,0,0.95614,-0.022
"1603911",0.667,0.69,0.78249,0.066
"1603912",0.667,0.67,0.61708,0.11
"1603918",0,0,0.9099,-0.033
"1603919",-4.714,-5.76,0.14799,-0.297
"1603920",-1,-1.01,0.69912,-0.088
"1603921",0,0,1,-0.011
"1603922",4.143,4.71,0.06008,0.385
"1603923",0,0,0.86804,0.044
"1603924",1.333,1.56,0.62065,0.11
"1603925",1.333,1.66,0.50433,0.143
"1603926",-4.8,-7.71,0.13612,-0.297
"1603927",0,0,0.12626,-0.286
"1606307",2.778,3.79,0.37772,0.187
"1606308",3.556,5.66,0.24815,0.242
"1606309",2.143,3.92,0.58294,0.121
"1606310",-0.889,-1.27,0.82615,-0.055
"1606311",-2.667,-2.97,0.70028,-0.088
"1606312",0,0,1,-0.011
"1606313",0,0,0.86843,0.044
"1606314",0,0,0.9122,-0.033
"1606315",0,0,0.86723,0.044
"1606320",1.75,1.81,0.37626,0.187
"1606321",-1.143,-1,0.65917,-0.099
"1606322",-1,-1.1,0.78249,-0.066
"1606323",1,1.04,0.78334,0.066
"1606324",2,2.15,0.43881,0.165
"1606325",2.667,3.2,0.24624,0.242
"1606326",0.889,0.83,0.82546,0.055
"1606327",0,0,0.73849,-0.077
"1606328",0,0,0.86324,-0.044
"1606329",-5.25,-8.83,0.15754,-0.275
"1606330",0,0,0.49153,-0.143
"1608708",4,5.06,0.0265,0.451
"1608709",2.182,2.9,0.29117,0.22
"1608710",2.143,3.07,0.7408,0.077
"1608711",2.143,3.07,0.2041,0.264
"1608712",2,2.8,0.07649,0.363
"1608713",1.778,2.28,0.3479,0.198
"1608714",1.6,1.82,0.37578,0.187
"1608715",2.667,2.95,0.29413,0.22
"1608716",-4,-3.84,0.43599,-0.165
"1608717",0.667,0.68,0.74004,0.077
"1608718",0.8,0.8,0.58026,0.121
"1608719",0,0,0.8679,0.044
"1608720",0,0,1,0.011
"1608721",0,0,1,-0.011
"1608723",0,0,1,-0.011
"1608724",0,0,0.95597,0.022
"1608725",0.727,0.75,0.78249,0.066
"1608726",2.143,2.42,0.24624,0.242
"1608727",1.6,1.87,0.66046,0.099
"1608728",4.6,4.94,0.12266,0.319
"1608729",0.8,1.03,0.57793,0.121
"1608730",0,0,0.91139,0.033
"1608731",0,0,0.49153,-0.143
"1608732",0,0,0.95514,0.022
"1611108",4,4.75,0.05982,0.385
"1611110",3.2,4.55,0.12153,0.319
"1611111",2.778,3.95,0.10788,0.33
"1611112",2.143,2.95,0.24335,0.242
"1611113",2.667,3.91,0.07649,0.363
"1611114",2.6,3.81,0.09677,0.341
"1611115",2,2.86,0.26873,0.231
"1611116",3.5,4.52,0.04717,0.407
"1611117",4.091,4.69,0.0474,0.407
"1611118",2.667,3.2,0.18265,0.275
"1611119",0.667,0.65,0.78249,0.066
"1611120",0.727,0.73,0.6582,0.099
"1611121",0.727,0.76,0.6582,0.099
"1611122",0,0,0.91229,0.033
"1611123",0.727,0.87,0.82546,0.055
"1611124",0.667,0.61,0.82546,0.055
"1611125",-1,-0.92,0.86935,-0.044
"1611126",1.143,1.11,0.70113,0.088
"1611127",1.6,1.61,0.54523,0.132
"1611128",0.727,0.75,0.78249,0.066
"1611129",0,0,0.91229,-0.033
"1611130",2,2.25,0.29413,0.22
"1611131",3.2,3.63,0.32102,0.209
"1611132",5.333,5.32,0.20593,0.264
"1611133",0,0,0.82169,-0.055
"1611134",0,0,0.82169,-0.055
"1611135",0,0,0.82169,-0.055
"1613509",1.429,1.48,0.61923,0.11
"1613510",2.286,2.5,0.44067,0.165
"1613511",0.5,0.62,0.57988,0.121
"1613512",1,1.59,0.50695,0.143
"1613513",1,1.59,0.50695,0.143
"1613514",0.667,1.04,0.6178,0.11
"1613515",2,2.76,0.16573,0.286
"1613516",2,2.76,0.16573,0.286
"1613517",1.143,1.48,0.43599,0.165
"1613518",3,4.14,0.06086,0.385
