"nie_malla_modi_id","sen_slope_tempm08","sen_slope_per_tempm08","p_value_tempm08","tau_tempm08"
1589498,0.054,0.22,0.04874,0.407
1591900,0.056,0.23,0.05499,0.396
1591901,0.058,0.23,0.0375,0.429
1591914,0.06,0.25,0.00997,0.527
1591915,0.065,0.27,0.0086,0.538
1594301,0.056,0.23,0.0627,0.385
1594302,0.056,0.23,0.0627,0.385
1594303,0.056,0.23,0.0425,0.418
1594310,0.051,0.21,0.05499,0.396
1594311,0.048,0.2,0.06191,0.385
1594312,0.06,0.25,0.02458,0.462
1594315,0.055,0.23,0.0086,0.538
1594316,0.053,0.22,0.0086,0.538
1596703,0.058,0.24,0.0627,0.385
1596704,0.058,0.24,0.0627,0.385
1596705,0.058,0.24,0.0627,0.385
1596711,0.052,0.21,0.04874,0.407
1596712,0.052,0.21,0.05499,0.396
1596713,0.05,0.21,0.04874,0.407
1596714,0.05,0.21,0.05499,0.396
1596715,0.056,0.23,0.02806,0.451
1596716,0.058,0.24,0.0184,0.484
1596717,0.06,0.25,0.01601,0.495
1596718,0.058,0.24,0.01179,0.516
1596719,0.06,0.25,0.0184,0.484
1599103,0.06,0.25,0.0627,0.385
1599104,0.056,0.23,0.0627,0.385
1599105,0.058,0.24,0.0627,0.385
1599106,0.058,0.24,0.0627,0.385
1599107,0.062,0.26,0.04874,0.407
1599108,0.062,0.25,0.05499,0.396
1599114,0.055,0.23,0.04874,0.407
1599115,0.053,0.22,0.07041,0.374
1599116,0.05,0.21,0.0892,0.352
1599117,0.048,0.2,0.10052,0.341
1599118,0.048,0.2,0.07041,0.374
1599119,0.055,0.23,0.02149,0.473
1599120,0.058,0.24,0.0184,0.484
1599121,0.055,0.23,0.02149,0.473
1601504,0.056,0.24,0.04874,0.407
1601505,0.058,0.25,0.0627,0.385
1601506,0.058,0.25,0.0627,0.385
1601507,0.06,0.25,0.0627,0.385
1601508,0.058,0.24,0.0627,0.385
1601509,0.065,0.27,0.0627,0.385
1601510,0.063,0.26,0.05499,0.396
