"nie_malla_modi_id","sen_slope_tempsu","sen_slope_per_tempsu","p_value_tempsu","tau_tempsu"
1589498,0,0,0.9561,0.022
1591900,0.007,0.03,0.86935,0.044
1591901,0.01,0.04,0.91281,0.033
1591914,0.015,0.06,0.78398,0.066
1591915,0.01,0.04,0.91281,0.033
1594301,0.018,0.07,0.82615,0.055
1594302,0.005,0.02,0.82667,0.055
1594303,0.01,0.04,0.91281,0.033
1594310,-0.005,-0.02,1,-0.011
1594311,0,0,1,0
1594312,0.022,0.09,0.70113,0.088
1594315,0.015,0.06,0.74256,0.077
1594316,0.01,0.04,0.91281,0.033
1596703,0.02,0.08,0.82667,0.055
1596704,0.015,0.06,0.82667,0.055
1596705,0.01,0.04,0.82667,0.055
1596711,0.003,0.01,1,0.011
1596712,0,0,1,0
1596713,-0.005,-0.02,1,-0.011
1596714,0,0,1,0
1596715,0.025,0.1,0.74256,0.077
1596716,0.015,0.06,0.74256,0.077
1596717,0.01,0.04,0.86935,0.044
1596718,0.01,0.04,0.82615,0.055
1596719,0.006,0.02,0.95628,0.022
1599103,0.018,0.07,0.82667,0.055
1599104,0.02,0.08,0.82667,0.055
1599105,0.022,0.09,0.86935,0.044
1599106,0.02,0.08,0.82615,0.055
1599107,0.015,0.06,0.74256,0.077
1599108,0.007,0.03,0.82667,0.055
1599114,0,0,1,0.011
1599115,-0.005,-0.02,1,-0.011
1599116,0,0,1,0.011
1599117,0,0,1,0
1599118,0.01,0.04,1,0.011
1599119,0.016,0.07,0.78398,0.066
1599120,0.012,0.05,0.82615,0.055
1599121,0.014,0.06,1,0.011
1601504,0.018,0.08,0.86935,0.044
1601505,0.018,0.08,0.82667,0.055
1601506,0.021,0.09,0.82667,0.055
1601507,0.021,0.09,0.82667,0.055
1601508,0.02,0.08,0.82667,0.055
1601509,0.015,0.06,0.74256,0.077
1601510,0.02,0.08,0.70113,0.088
1601516,0.005,0.02,0.95628,0.022
1601517,0.005,0.02,1,0.011
1601518,0,0,1,0.011
1601519,0.012,0.05,0.95628,0.022
1601520,0.01,0.04,0.91281,0.033
1601521,0.012,0.05,0.91281,0.033
1601522,0.02,0.08,0.82667,0.055
1601523,0.012,0.05,0.91255,0.033
1601524,0.01,0.04,1,0.011
1601525,0.006,0.02,1,0.011
1603905,0.027,0.11,0.82667,0.055
1603906,0.016,0.07,0.82667,0.055
1603907,0.02,0.09,0.82667,0.055
1603908,0.019,0.08,0.82615,0.055
1603909,0.02,0.09,0.78398,0.066
